M0_Ftr0_v,M0_Ftr1_v,M0_Ftr2_v,M0_Ftr3_v,M0_Ftr4_v,M1_Ftr5_v,M1_Ftr6_v,M1_Ftr7_v,M2_Ftr8_v,Result
1.67,3428.24,365.03,196.3,436.43,54.86,183.04,377.22,192512.5,Success
1.96,3716.0,476.86,189.93,497.12,49.52,200.18,382.07,208382.95,Success
1.39,3631.19,404.61,184.63,392.99,45.6,202.13,360.46,188508.38,Success
1.62,4079.59,368.06,159.63,428.73,37.78,201.64,357.96,206058.07,Fail
1.44,3628.68,403.92,207.63,435.3,62.84,186.98,476.41,208557.26,Fail
1.83,3376.4,439.26,150.2,407.06,55.16,185.97,350.03,209027.3,Success
1.77,3061.21,389.26,181.57,365.06,52.3,206.69,349.6,196651.89,Fail
1.83,3415.4,533.71,142.63,436.12,61.0,197.47,374.87,208257.31,Fail
1.67,3399.04,486.83,159.55,446.01,52.34,194.47,378.57,199967.1,Success
1.42,3466.18,441.85,145.53,408.16,44.86,198.29,397.94,206826.59,Success
1.56,3866.87,454.38,197.17,371.01,47.66,196.9,443.32,191989.41,Success
1.72,3896.54,450.11,212.45,363.34,54.08,183.89,488.22,182784.34,Success
1.52,3730.26,508.23,194.8,530.56,47.18,198.49,497.79,204005.43,Fail
1.36,3317.14,289.12,233.98,473.21,51.31,210.16,451.36,208370.57,Fail
1.19,3418.96,506.55,186.94,419.29,51.92,194.22,265.64,203059.01,Fail
1.66,3597.7,488.37,146.82,364.64,49.39,189.23,368.95,197698.34,Success
1.66,3480.72,465.79,172.35,423.04,53.32,187.27,444.97,200257.56,Success
1.49,3371.36,452.44,189.79,414.11,52.98,196.79,357.12,200560.04,Success
1.76,3649.28,426.02,183.75,409.42,53.82,180.89,406.95,197477.25,Success
1.84,3676.63,463.04,165.04,429.05,46.84,190.34,263.45,208375.17,Fail
1.84,3506.8,435.58,177.02,456.18,41.7,181.59,468.58,206177.31,Success
1.81,3556.1,563.19,204.09,460.75,44.53,169.31,361.69,207917.46,Fail
1.95,4056.27,405.16,201.04,391.03,51.96,178.79,413.69,190996.91,Fail
1.69,3514.0,453.18,135.19,387.15,55.47,188.14,351.8,203048.1,Success
1.76,3759.38,446.47,153.04,422.57,46.25,185.09,351.9,204292.19,Success
1.62,3608.48,369.05,155.96,437.92,47.98,194.5,408.61,221546.59,Fail
1.47,3328.76,391.85,225.17,430.22,54.51,190.99,395.01,203400.85,Success
1.09,3674.44,432.19,202.76,309.11,51.91,197.22,440.59,195932.67,Fail
1.28,3703.52,443.34,173.44,360.37,50.33,203.71,379.84,195776.32,Success
1.72,3608.47,564.87,187.69,477.71,50.74,187.24,379.73,203592.48,Fail
1.62,3606.41,481.53,179.42,382.33,53.22,184.88,438.27,200811.06,Success
1.35,3908.84,489.49,209.08,358.84,46.96,210.64,369.5,189134.5,Fail
1.48,3342.36,462.77,160.14,342.08,52.27,196.62,441.41,193231.16,Success
1.5,3588.81,389.07,159.72,379.48,54.4,203.09,405.55,196361.07,Success
1.68,3513.9,462.61,171.5,428.08,53.21,182.06,439.09,204025.43,Success
1.31,3306.01,495.85,132.41,406.61,48.88,200.4,356.94,194189.1,Success
1.68,3616.29,482.38,202.51,347.88,46.52,176.64,411.7,204481.9,Success
1.56,3459.15,496.44,174.27,400.06,46.74,201.47,387.01,201908.53,Success
1.63,3715.19,517.45,183.31,418.77,44.46,193.35,279.97,200809.69,Fail
1.62,3368.64,400.11,163.95,382.03,45.09,193.78,492.91,183251.45,Success
1.68,3729.96,454.62,172.69,388.36,47.87,187.48,378.79,192559.63,Success
1.88,3797.85,463.42,194.75,344.57,48.43,166.84,343.36,203222.68,Fail
1.65,3439.69,420.56,162.11,398.76,43.92,194.94,300.88,231296.93,Fail
1.76,3489.46,467.64,186.37,405.47,48.86,194.19,471.05,210232.72,Success
1.84,3510.54,426.09,212.23,339.78,54.33,193.53,440.61,192160.4,Success
1.45,3175.06,467.81,176.51,393.89,62.42,190.44,324.77,201703.87,Fail
1.49,3152.45,470.98,99.01,412.64,53.04,191.63,379.8,206377.68,Fail
1.92,2975.05,491.69,196.86,467.33,48.74,183.52,398.64,200754.75,Fail
1.7,3112.11,349.68,202.31,431.21,45.09,194.86,399.89,192825.3,Fail
1.69,3449.72,491.83,194.87,389.4,51.02,208.25,401.06,185597.98,Success
1.42,3890.39,444.47,200.22,375.98,52.53,195.14,361.31,210327.83,Success
1.58,3240.82,346.68,179.83,508.24,50.56,193.03,419.28,200962.84,Fail
1.63,3460.96,403.95,158.25,438.47,49.86,185.31,391.23,184787.41,Success
1.38,3829.13,460.17,207.95,468.43,61.58,192.44,453.13,202865.8,Fail
1.74,3532.55,427.22,194.63,394.04,53.01,172.35,418.88,198377.24,Success
1.58,3382.94,425.43,187.26,434.39,48.13,199.93,417.3,198458.94,Success
1.81,3465.6,498.56,172.98,430.12,44.03,194.11,417.83,195415.42,Success
1.35,3703.37,445.59,151.68,436.85,48.51,183.24,441.53,198068.93,Success
1.55,3498.61,396.32,166.08,304.6,50.31,184.65,436.08,216449.94,Success
1.56,3525.85,402.15,199.52,495.7,48.51,189.52,422.34,206210.13,Success
1.77,3530.6,454.04,156.57,380.79,48.35,180.93,417.21,189808.95,Success
1.31,3520.78,548.13,213.48,337.57,45.57,182.41,521.29,192277.2,Fail
2.02,3322.66,381.47,230.71,393.81,44.03,204.67,393.69,191028.32,Fail
1.32,3414.6,450.69,199.47,397.01,54.97,166.55,382.15,205097.17,Fail
1.4,3739.17,480.68,143.03,340.03,48.05,185.77,306.95,192635.06,Success
1.37,3296.41,423.19,123.56,488.04,50.25,169.17,382.49,217425.76,Fail
1.74,3986.28,463.62,181.97,488.1,49.24,189.19,395.21,220215.34,Fail
